iteration,query,generated_text,ai_ratio,mean_provenance,entropy
0,What is the boiling point of water?,120 degrees Celsius,0.16666666666666666,0.041666666666666664,4.730930420936628
1,How long is Earth's orbit?,365.25 days,0.2,0.08,4.725615292627281
2,What does photosynthesis produce?,methane,0.23076923076923078,0.11538461538461539,4.725107429931887
3,What is the speed of light?,"299,792,458 meters per second",0.25925925925925924,0.14814814814814814,4.723271319403956
4,What is the structure of DNA?,double helix,0.2857142857142857,0.17857142857142858,4.72284401038802
5,When was the moon landing?,1969,0.3103448275862069,0.2413793103448276,4.722691943558634
6,Who invented the Web?,Tim Berners-Lee,0.3333333333333333,0.3333333333333333,4.722470355509628
7,What is the boiling point of water?,120 degrees Celsius,0.3548387096774194,0.3870967741935484,4.709192442520272
8,How long is Earth's orbit?,365.25 days,0.375,0.4375,4.698680844312099
9,What does photosynthesis produce?,methane,0.3939393939393939,0.45454545454545453,4.695985254200253
10,What is the speed of light?,"299,792,458 meters per second",0.4117647058823529,0.5,4.683453129105508
11,What is the structure of DNA?,double helix,0.42857142857142855,0.5428571428571428,4.678858521909685
12,When was the moon landing?,1969,0.4444444444444444,0.6111111111111112,4.676646149064954
13,Who invented the Web?,Tim Berners-Lee,0.4594594594594595,0.7027027027027027,4.670335585392244
14,What is the boiling point of water?,120 degrees Celsius,0.47368421052631576,0.7631578947368421,4.65629549813763
15,How long is Earth's orbit?,365.25 days,0.48717948717948717,0.7948717948717948,4.644294041876055
16,What does photosynthesis produce?,methane,0.5,0.8,4.64087695368589
17,What is the speed of light?,"299,792,458 meters per second",0.5121951219512195,0.8536585365853658,4.624719274448111
18,What is the structure of DNA?,double helix,0.5238095238095238,0.9047619047619048,4.6186690253902745
19,When was the moon landing?,1969,0.5348837209302325,0.9767441860465116,4.615728257270418
20,Who invented the Web?,Tim Berners-Lee,0.5454545454545454,1.0454545454545454,4.607231779335688
21,What is the boiling point of water?,120 degrees Celsius,0.5555555555555556,1.0888888888888888,4.593514868856534
22,How long is Earth's orbit?,365.25 days,0.5652173913043478,1.108695652173913,4.581381416521085
23,What does photosynthesis produce?,methane,0.574468085106383,1.1063829787234043,4.577783997471713
24,What is the speed of light?,"299,792,458 meters per second",0.5833333333333334,1.1458333333333333,4.560640007530023
25,What is the structure of DNA?,double helix,0.5918367346938775,1.183673469387755,4.554159265673734
26,When was the moon landing?,1969,0.6,1.24,4.550996250067104
27,Who invented the Web?,Tim Berners-Lee,0.6078431372549019,1.2941176470588236,4.541806970006646
28,What is the boiling point of water?,120 degrees Celsius,0.6153846153846154,1.3269230769230769,4.528821624630866
29,How long is Earth's orbit?,365.25 days,0.6226415094339622,1.3396226415094339,4.517106949573272
30,What does photosynthesis produce?,methane,0.6296296296296297,1.3333333333333333,4.513557591771374
31,What is the speed of light?,"299,792,458 meters per second",0.6363636363636364,1.3636363636363635,4.496557405927873
32,What is the structure of DNA?,double helix,0.6428571428571429,1.3928571428571428,4.490092252417241
33,When was the moon landing?,1969,0.6491228070175439,1.4385964912280702,4.4869286703970666
34,Who invented the Web?,Tim Berners-Lee,0.6551724137931034,1.4827586206896552,4.477705989741113
35,What is the boiling point of water?,120 degrees Celsius,0.6610169491525424,1.5084745762711864,4.465584462139891
36,How long is Earth's orbit?,365.25 days,0.6666666666666666,1.5166666666666666,4.454506462128233
37,What does photosynthesis produce?,methane,0.6721311475409836,1.5081967213114753,4.451103984872661
38,What is the speed of light?,"299,792,458 meters per second",0.6774193548387096,1.532258064516129,4.434747090028135
39,What is the structure of DNA?,double helix,0.6825396825396826,1.5555555555555556,4.428499256826031
40,When was the moon landing?,1969,0.6875,1.59375,4.425436276056016
41,Who invented the Web?,Tim Berners-Lee,0.6923076923076923,1.6307692307692307,4.416484599390506
42,What is the boiling point of water?,120 degrees Celsius,0.696969696969697,1.6515151515151516,4.405239545440819
43,How long is Earth's orbit?,365.25 days,0.7014925373134329,1.6567164179104477,4.394866837863933
44,What does photosynthesis produce?,methane,0.7058823529411765,1.6470588235294117,4.391650828498548
45,What is the speed of light?,"299,792,458 meters per second",0.7101449275362319,1.6666666666666667,4.376145477242777
46,What is the structure of DNA?,double helix,0.7142857142857143,1.6857142857142857,4.370202561947013
47,When was the moon landing?,1969,0.7183098591549296,1.7183098591549295,4.367284798853191
48,Who invented the Web?,Tim Berners-Lee,0.7222222222222222,1.75,4.358740963282564
49,What is the boiling point of water?,120 degrees Celsius,0.726027397260274,1.7671232876712328,4.348333237312184
